epoch,train_loss,val_loss,best_val_loss,lr,improved,no_improve,delta_r_mean,delta_r_count,hard_delta_r_mean,hard_delta_r_count,sign_accuracy,sign_count,amplitude_ratio,active_fraction,pattern_score
64,4.240664502227446,4.664960774127394,4.575940766604617,1.5e-05,0,1,0.2954290718047635,862.0,0.30423317716556525,795.0,0.7827416555691322,25281892.0,0.6002650215288325,0.7207401912581617,0.4352623073424021
65,4.478599318041233,4.746598604833707,4.575940766604617,1.5e-05,0,2,0.2932615205645561,862.0,0.3014133317946638,795.0,0.7817897094094065,25281892.0,0.615324892812428,0.7207401912581617,0.43349103019299107
66,4.005864917562576,4.621803159825504,4.575940766604617,1.5e-05,0,3,0.2912512227564428,862.0,0.3011530091084024,795.0,0.7874892828432303,25281892.0,0.5479412185343678,0.7207401912581617,0.4285715025152632
67,4.254028587020002,4.5581680135801435,4.5581680135801435,1.5e-05,1,0,0.2943244960694952,862.0,0.3051929497540747,795.0,0.7891267394070033,25281892.0,0.5152035043023855,0.7207401912581617,0.4298586325161773
68,4.6408047990407795,4.583610772155225,4.5581680135801435,1.5e-05,0,1,0.28709256073369227,862.0,0.2981507679201522,795.0,0.7924693294315156,25281892.0,0.5028368899136297,0.7207401912581617,0.42227016200663847
69,4.2742142581846565,4.554108327254653,4.554108327254653,1.5e-05,1,0,0.30288455296489314,862.0,0.31248212867188,795.0,0.7865443377418114,25281892.0,0.6141592813893426,0.7207401912581617,0.44541594779354543
70,4.198680617613718,4.544856602093205,4.544856602093205,1.5e-05,1,0,0.2967475248185222,862.0,0.30613136523924533,795.0,0.7892946856983647,25281892.0,0.5632270420372071,0.7207401912581617,0.43528667936341076
71,4.671011077647563,4.499377752537839,4.499377752537839,1.5e-05,1,0,0.3009610333698186,862.0,0.31094042487770507,795.0,0.7924765282598312,25281892.0,0.533842521726117,0.7207401912581617,0.43805301119721957
72,4.213646445219638,4.597755095572211,4.499377752537839,1.5e-05,0,1,0.29617700247815754,862.0,0.30492319017648695,795.0,0.7867755308819451,25281892.0,0.6100053608832392,0.7207401912581617,0.4375639196768651
73,4.384766986768227,4.555743379285559,4.499377752537839,1.5e-05,0,2,0.2942499740788251,862.0,0.30348503418126194,795.0,0.7908081404667024,25281892.0,0.5086288732884932,0.7207401912581617,0.42784482940086527
74,4.474091571464669,4.609443229972385,4.499377752537839,1.5e-05,0,3,0.2973007628620708,862.0,0.3068974533499037,795.0,0.7858101759156316,25281892.0,0.6180195630011591,0.7207401912581617,0.4399977301988408
75,4.24431268076296,4.555578461149707,4.499377752537839,1.5e-05,0,4,0.2946740485070891,862.0,0.3057317928416924,795.0,0.7919629986553222,25281892.0,0.5173826011593546,0.7207401912581617,0.43117576071066743
76,4.427218992233975,4.507612682878971,4.499377752537839,1.5e-05,0,5,0.301285087033726,862.0,0.31251868812730477,795.0,0.7890776133368499,25281892.0,0.6130128298170882,0.7207401912581617,0.44586574010916713
77,3.9986759632301982,4.518623560899869,4.499377752537839,1.5e-05,0,6,0.30365963877889646,862.0,0.31457027827137674,795.0,0.7906963608578029,25281892.0,0.52234583035146,0.7207401912581617,0.4402382804324026
78,3.9242116660170723,4.587677164701745,4.499377752537839,1.5e-05,0,7,0.3031238876153518,862.0,0.31429819781918944,795.0,0.7842076059813878,25281892.0,0.6251190372520146,0.7207401912581617,0.447649059626585
79,4.562721272057388,4.663377043092623,4.499377752537839,7.5e-06,0,8,0.29919196993518804,862.0,0.3100947606769748,795.0,0.7854658187765378,25281892.0,0.5616243067445998,0.7207401912581617,0.4383418171339445
80,4.315208318876103,4.533974781632423,4.499377752537839,7.5e-06,0,9,0.304770418384443,862.0,0.3152917799803446,795.0,0.7885313725729072,25281892.0,0.5347097590738549,0.7207401912581617,0.4416964952099269
81,4.452620255528018,4.514330014470033,4.499377752537839,7.5e-06,0,10,0.3042869998613187,862.0,0.31508035931103634,795.0,0.78859600381174,25281892.0,0.586652413667493,0.7207401912581617,0.4461334213334779
82,4.191559356346261,4.607324387063272,4.499377752537839,7.5e-06,0,11,0.30415453638648077,862.0,0.3146543084895648,795.0,0.7835877947742202,25281892.0,0.6026061003003486,0.7207401912581617,0.4460472909925309
83,4.207856148132123,4.5613504111533985,4.499377752537839,7.5e-06,0,12,0.3053834617889882,862.0,0.31586826124562406,795.0,0.785501892026119,25281892.0,0.5788839478780388,0.7207401912581617,0.4456359768037073
84,4.235781739494996,4.529774472583085,4.499377752537839,7.5e-06,0,13,0.3077574583881139,862.0,0.31751184566590773,795.0,0.7850529145524393,25281892.0,0.6088073739042968,0.7207401912581617,0.44970976056074335
85,4.272310002299491,4.488162909401581,4.488162909401581,7.5e-06,1,0,0.30597498200902945,862.0,0.31678693070070546,795.0,0.7897649827789788,25281892.0,0.5536817465055293,0.7207401912581617,0.44518166615177945
