dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,5,5,50.0,512,544,0.6062374114990234,0.287139892578125,0.25904686252180154,0.2814130580171983,1.035498533685753,1.3327571156798717,0.33890271842160535,1.604643604063382,1.9294308033010756,0.21782084656865805,0.26395783850816085,0.35685569740326023,0.12418119375914959,0.2046735335459351,0.2288752717721827,0.06879783202835388,0.09697906400080707,0.12098667116782802
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,7,7,70.0,512,544,0.6062374114990234,0.8692474365234375,0.2516134462797788,0.2681295953931687,1.2869256142411314,1.5747932054609857,0.37677728554183215,2.0759295087973335,2.453598713957194,0.1803804250931004,0.4211970342976452,0.5569835816554407,0.06750806679149395,0.14124591603613845,0.1614929253365535,0.004679111463036874,0.15000172904550277,0.16917703809886045
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,10,10,100.0,512,544,0.6062374114990234,0.9876556396484375,0.16669807456354557,0.18353728712529274,1.4520171908624169,1.7624093691297673,0.2031472592380117,2.2091158443259946,2.6022714365494184,0.12023344789045308,0.6642411535030379,0.8465853917343477,0.10138724376746547,0.06394220683101243,0.07889537060360931,0.02622599566029788,0.06669558070503688,0.08555335009317962
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,12,12,120.0,512,544,0.6062374114990234,0.999725341796875,0.11523368771996384,0.18794415807283416,1.4796122281214172,1.7884755939755117,0.11661527024541467,2.3793815792383826,2.7362106685402443,0.09817367789270905,0.7477077667062966,0.9415394476825937,0.014916815655765159,0.05007045196105521,0.061789446874003257,nan,0.04066472688311203,0.050553028521414765
811,camden/z25_camden201908/t0034/z000_y0512_x0544,z25_camden201908,8,34,0,15,15,150.0,512,544,0.6062374114990234,1.0,0.08445216677891482,0.10987713018675858,1.5343047053047485,1.8754330465718607,0.0973334199434186,2.340180772524036,2.678171110994903,0.09561651498746535,0.8107481731681716,1.0173838903534247,0.028590593935918195,0.16020295764974435,0.18051087108289468,nan,0.07142883166670799,0.085917683260378
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,3,3,30.0,512,256,0.33730220794677734,0.0,-999.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,5,5,50.0,512,256,0.33730220794677734,0.0065460205078125,-0.6581530976583019,0.10917986698703701,1.5737549286066512,1.7844730071540948,0.2543161289637903,1.7742198277742436,1.983523058780213,0.04752950301204654,0.22469730844931776,0.29615826682802104,0.04898731443322542,0.7855290385670873,0.8197714593925451,0.04225474770195598,0.9378854178048514,0.970876832917528
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,7,7,70.0,512,256,0.33730220794677734,0.1482086181640625,0.02718018159789918,-0.009016654556615246,1.616401541408569,1.8034130436729148,-0.013121789789742539,1.2209651945155964,1.4918924600954202,0.14202121433116838,0.1938150057296212,0.27027851757351934,0.11131030561026393,0.6030885052462507,0.6152599175529153,0.09449516746323285,0.7204580292279034,0.7359842333340577
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,10,10,100.0,512,256,0.33730220794677734,0.459503173828125,0.03224588898979559,-0.27908986022975735,1.7799408370069183,2.079003198079848,0.2730799523245697,1.1877564570141668,1.4491451500087587,0.1988728764530573,0.23262404735180037,0.30759946175341,0.09762285173583357,0.5132167056007927,0.5202822134097818,0.13031606199138115,0.5907824538401211,0.5981219117835184
953,camden/z26_camden201909/t0036/z000_y0512_x0256,z26_camden201909,9,36,0,12,12,120.0,512,256,0.33730220794677734,0.723175048828125,0.0759494816458996,-0.08015985709686596,1.879327555663496,2.073034433088599,0.15774514057753225,1.1242638059183983,1.3523987797180064,0.20095755559392925,0.22147102547432995,0.3045157400911275,0.15498701859187977,0.4758202379268599,0.4849286080817421,0.09589272175892678,0.5382492310760263,0.5478794813237798
