dataset_index,sample_key,job,month,time_index,z0,local_z,global_z,height_m,y0,x0,valid_fraction_3d,valid_fraction_slice,score,u_R,u_MAE,u_RMSE,v_R,v_MAE,v_RMSE,w_R,w_MAE,w_RMSE,theta_prime_R,theta_prime_MAE,theta_prime_RMSE,theta_R,theta_MAE,theta_RMSE
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,7,7,70.0,544,512,0.5702686309814453,0.714599609375,0.3446116664396892,0.3825340605846509,2.3991461643127603,2.830263605709098,0.43532999834537556,3.083427246783449,3.5116330654616723,0.21808785154071192,0.5595846747931088,0.7472567571282938,0.18981941294857754,0.5177199117569516,0.5259264511755463,nan,0.4610385295267108,0.47056580534195835
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,10,10,100.0,544,512,0.5702686309814453,0.9568023681640625,0.4040404685981232,0.4493216681694735,2.485059083370242,2.9584437016512224,0.44667745464740205,3.4620220589187194,3.926198837300825,0.14556810340655615,0.8132710837303331,1.0420805845573549,0.33264948176755615,0.5326252900059832,0.5374177154970078,0.0072185581835602815,0.6448841481581039,0.6492601375855181
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,12,12,120.0,544,512,0.5702686309814453,0.99554443359375,0.29913273252261324,0.34948440128350794,2.577997832607868,3.0504775029563125,0.3057591587459037,3.7780126766832987,4.207436192965595,0.0923785026267386,0.9188804029866118,1.1636891792063928,0.2607142455239291,0.5340393647271986,0.5385978469650092,nan,0.5991082181235355,0.6034324585119114
318,camden/z20_camden201903/t0038/z000_y0544_x0512,z20_camden201903,3,38,0,15,15,150.0,544,512,0.5702686309814453,1.0,0.11404844254941761,0.15073532555197847,2.4982769063062733,2.9563454155574767,0.17311191814197036,3.755696867694496,4.169209007604659,0.039300040752312505,1.0226173589653769,1.2768362586203754,-0.005052379124320389,0.5585446857521674,0.5850756009974796,nan,0.5650650109164417,0.5912177718803706
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,3,3,30.0,0,512,0.6771478652954102,0.174072265625,0.2943273634250063,0.2219223863410914,1.7629155348072045,2.0600958945582932,0.19898042523962609,1.330851711249201,1.454928035741498,0.1570016117386871,0.21565554126536524,0.28197243227228275,0.5566451951392835,0.20867809755688463,0.2465963176388395,0.4985171553657762,0.19325076313206055,0.23196562048531327
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,5,5,50.0,0,512,0.6771478652954102,0.55816650390625,0.18962379755918682,0.3542534686880697,1.165549013544915,1.3888916423499331,-0.12150052563239815,0.6846754893701281,0.8233726472310047,0.1895700337738458,0.20855339260902608,0.2763814788655945,0.394727063204038,0.12994978186730938,0.1624472808309922,0.3533061389286297,0.15031637084360264,0.18298783546458866
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,7,7,70.0,0,512,0.6771478652954102,0.909332275390625,0.07346821717473866,0.13481010112626743,0.8793005849481585,1.0936550264098768,-0.029725174596747703,0.6661425953896033,0.7968640985341118,0.1645844429000046,0.23249547097403342,0.30212302195659485,0.11383708297762613,0.16462699874665956,0.19757689317741892,0.062176838733531345,0.24247474387479628,0.280843017946117
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,10,10,100.0,0,512,0.6771478652954102,0.9977569580078125,0.052622117678464524,-0.033177713683498596,0.7904934043644651,0.994980546369981,0.04121883512224766,0.7788754487566716,0.8983222812207606,0.09249683421717594,0.29330034180200554,0.36950666772994867,0.18073153385617421,0.26406075625225717,0.2706426959234467,0.05441089638858754,0.41068210265485094,0.42067387529297506
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,12,12,120.0,0,512,0.6771478652954102,0.998809814453125,0.060062109649629616,0.020360585542074146,0.898220097034493,1.1062161715805454,0.030109135675279376,0.717790356384684,0.8323790034845822,0.07508718613534585,0.3063427459430592,0.3863385222074328,0.1545733916671544,0.22677432627889027,0.23898334637439334,0.03810783433219747,0.2781750987505526,0.29378635673836606
1042,camden/z27_camden201910/t0035/z000_y0000_x0512,z27_camden201910,10,35,0,15,15,150.0,0,512,0.6771478652954102,0.99896240234375,0.0468729796480866,0.03073489888391534,1.156930748863314,1.4000252119235825,0.04545110597894985,0.6310901651896954,0.74541051960073,0.07525503414549317,0.3077005030884887,0.39108659163557746,0.0657805049552365,0.2778258350222398,0.3043529401186523,0.0032545287389750097,0.23561409906963135,0.2645799683085039
115,camden/z19_camden201902/t0033/z000_y0000_x0544,z19_camden201902,2,33,0,3,3,30.0,0,544,0.6910905838012695,0.2147216796875,0.39248856001845644,0.436809907958328,1.0793668416377968,1.3209759315329916,0.2915048822797651,1.3772393676403099,1.6864101282754185,0.4567436670121888,0.32319626541676677,0.48754761440226557,0.45896480033805753,0.2133316618939433,0.25723619151197374,0.40288375531376164,0.25887011234702,0.31318923117794173
