Task2_V3 target=background-normalized enhancement
Profile cache=/data/cd25/task2_V1/3D_UNet_pft/processed/richmond_average_profile_cache_m02_10_z001_010
Train samples=2242 val samples=278 depth=16
Feature channels: local=30, global=16
Global context enabled=True
Previous timestep CO2 is excluded completely. Target/reconstruction use current incoming background CO2.
Using device=cuda
Enhancement mean per z=[8.688699722290039, 8.134200096130371, 7.724999904632568, 7.071800231933594, 6.390399932861328, 5.827099800109863, 5.3709001541137695, 4.990799903869629, 4.65339994430542, 4.347899913787842, 4.063499927520752, 3.797800064086914, 3.55430006980896, 3.3252999782562256, 3.113800048828125, 2.918600082397461]
Enhancement std per z=[8.835000038146973, 8.336600303649902, 8.104700088500977, 7.736299991607666, 7.3643999099731445, 7.0279998779296875, 6.707499980926514, 6.4105000495910645, 6.115099906921387, 5.817999839782715, 5.52869987487793, 5.247799873352051, 4.9944000244140625, 4.770599842071533, 4.57859992980957, 4.4166998863220215]
Valid fraction per z=[0.6017000079154968, 0.8478999733924866, 0.9879999756813049, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
Layer weights=[1.9666999578475952, 1.565500020980835, 1.3272000551223755, 1.1837999820709229, 1.0751999616622925, 0.9905999898910522, 0.9247999787330627, 0.8734999895095825, 0.8335000276565552, 0.8023999929428101, 0.7781999707221985, 0.7592999935150146, 0.7445999979972839, 0.7332000136375427, 0.7242000102996826, 0.7172999978065491]
Initialized model weights from checkpoint: /data/cd25/task2_V3/3D_UNet_pft/processed/background_enhancement_v3/best_model.pt
Fresh optimizer/scheduler and epoch counter are used for this transfer run.
epoch=045 train_loss=0.031415 val_conc_R=0.978424 val_conc_MAE=1.243678 val_conc_RMSE=1.980937 val_enhancement_RMSE=1.980937 best=1.978898 lr=0.0001 improved=0 no_improve=2 elapsed=0.1s
epoch=046 train_loss=0.030794 val_conc_R=0.978497 val_conc_MAE=1.239980 val_conc_RMSE=1.978600 val_enhancement_RMSE=1.978600 best=1.978600 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=047 train_loss=0.030337 val_conc_R=0.978861 val_conc_MAE=1.234638 val_conc_RMSE=1.964250 val_enhancement_RMSE=1.964250 best=1.964250 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=048 train_loss=0.029881 val_conc_R=0.978785 val_conc_MAE=1.229700 val_conc_RMSE=1.963008 val_enhancement_RMSE=1.963008 best=1.963008 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=049 train_loss=0.029430 val_conc_R=0.979185 val_conc_MAE=1.226571 val_conc_RMSE=1.952524 val_enhancement_RMSE=1.952524 best=1.952524 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=050 train_loss=0.028589 val_conc_R=0.978956 val_conc_MAE=1.223962 val_conc_RMSE=1.953721 val_enhancement_RMSE=1.953721 best=1.952524 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=051 train_loss=0.028379 val_conc_R=0.979119 val_conc_MAE=1.222536 val_conc_RMSE=1.952203 val_enhancement_RMSE=1.952203 best=1.952203 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=052 train_loss=0.028111 val_conc_R=0.979563 val_conc_MAE=1.208325 val_conc_RMSE=1.928657 val_enhancement_RMSE=1.928657 best=1.928657 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
epoch=053 train_loss=0.027438 val_conc_R=0.979522 val_conc_MAE=1.213845 val_conc_RMSE=1.936244 val_enhancement_RMSE=1.936243 best=1.928657 lr=0.0001 improved=0 no_improve=1 elapsed=0.1s
epoch=054 train_loss=0.027281 val_conc_R=0.979421 val_conc_MAE=1.207025 val_conc_RMSE=1.936959 val_enhancement_RMSE=1.936959 best=1.928657 lr=0.0001 improved=0 no_improve=2 elapsed=0.1s
epoch=055 train_loss=0.027169 val_conc_R=0.979845 val_conc_MAE=1.215053 val_conc_RMSE=1.936841 val_enhancement_RMSE=1.936841 best=1.928657 lr=0.0001 improved=0 no_improve=3 elapsed=0.1s
epoch=056 train_loss=0.027083 val_conc_R=0.979725 val_conc_MAE=1.210342 val_conc_RMSE=1.930543 val_enhancement_RMSE=1.930543 best=1.928657 lr=0.0001 improved=0 no_improve=4 elapsed=0.1s
epoch=057 train_loss=0.026034 val_conc_R=0.979850 val_conc_MAE=1.195804 val_conc_RMSE=1.912667 val_enhancement_RMSE=1.912667 best=1.912667 lr=0.0001 improved=1 no_improve=0 elapsed=0.1s
